Complexity,Loss,Equation
1,1484.1998,"-1.773993"
2,1055.4827,"log(0.00040358584)"
3,1.6582865,"-20.383081 + -19.894703"
4,0.9575986,"-27.232464 - log(Er)"
6,0.27608517,"log(ion_pair_rate / Er) - 45.385498"
8,0.2759644,"log((ion_pair_rate / Er) - -0.53827465) - 45.391872"
10,0.27476624,"(log(ion_pair_rate / Er) - 45.419777) - (-4.6338073e-8 * Er)"
12,0.2747404,"(log((ion_pair_rate / Er) + -0.20469666) - 45.419777) - (-4.6338073e-8 * Er)"
14,0.27469483,"(log((ion_pair_rate / Er) - (-4.6338073e-8 * Er)) - 45.419777) - (-4.6338073e-8 * Er)"
